,address,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
1,Taman Jurong Market & Food Centre,TAMAN JURONG MARKET & FOOD CENTRE,3,YUNG SHENG ROAD,TAMAN JURONG MARKET & FOOD CENTRE,3 YUNG SHENG ROAD TAMAN JURONG MARKET & FOOD CENTRE SINGAPORE 618499,618499,15565.0852814792,35212.4731548335,1.3347210661928,103.721583797451
0,Golden Mile Food Centre,OCBC GOLDEN MILE FOOD CENTRE,505,BEACH ROAD,OCBC GOLDEN MILE FOOD CENTRE,505 BEACH ROAD OCBC GOLDEN MILE FOOD CENTRE SINGAPORE 199583,199583,31400.915104527,31720.3067127466,1.30314151533241,103.863877368653
1,Golden Mile Food Centre,GOLDEN MILE FOOD CENTRE,505,BEACH ROAD,GOLDEN MILE FOOD CENTRE,505 BEACH ROAD GOLDEN MILE FOOD CENTRE SINGAPORE 199583,199583,31400.9425575882,31720.3330156244,1.30314175320333,103.863877615334
2,Golden Mile Food Centre,UOB GOLDEN MILE FOOD CENTRE,505,BEACH ROAD,UOB GOLDEN MILE FOOD CENTRE,505 BEACH ROAD UOB GOLDEN MILE FOOD CENTRE SINGAPORE 199583,199583,31400.915104527,31720.3067127466,1.30314151533241,103.863877368653
0,Blk 320 Shunfu Road,MARKET & HAWKER CENTRE (BLK 320 SHUNFU ROAD),320,SHUNFU ROAD,MARKET & HAWKER CENTRE (BLK 320 SHUNFU ROAD),320 SHUNFU ROAD MARKET & HAWKER CENTRE (BLK 320 SHUNFU ROAD) SINGAPORE 570320,570320,28413.2464859849,37123.6313303821,1.35200745401591,103.837031862103
0,ABC Brickworks Market & Food Centre,ABC BRICKWORKS MARKET & FOOD CENTRE,6,JALAN BUKIT MERAH,ABC BRICKWORKS MARKET & FOOD CENTRE,6 JALAN BUKIT MERAH ABC BRICKWORKS MARKET & FOOD CENTRE SINGAPORE 150006,150006,25196.8643863667,29922.5141526069,1.28688297261475,103.808131274161
0,Beo Crescent Market,BEO CRESCENT MARKET,38A,BEO CRESCENT,BEO CRESCENT MARKET,38A BEO CRESCENT BEO CRESCENT MARKET SINGAPORE 169982,169982,27336.1809281698,30137.891893005,1.28883089150258,103.827353892228
0,Blk 724 Ang Mo Kio Ave 6,MARKET & HAWKER CENTRE (BLK 724 ANG MO KIO AVE 6),724,ANG MO KIO AVENUE 6,MARKET & HAWKER CENTRE (BLK 724 ANG MO KIO AVE 6),724 ANG MO KIO AVENUE 6 MARKET & HAWKER CENTRE (BLK 724 ANG MO KIO AVE 6) SINGAPORE 560724,560724,29468.07854502,39353.3925121035,1.37217258545171,103.846510310202
0,Bedok Food Centre,BEDOK FOOD CENTRE,1,BEDOK ROAD,BEDOK FOOD CENTRE,1 BEDOK ROAD BEDOK FOOD CENTRE SINGAPORE 469572,469572,41595.4345044643,33623.132626934,1.32034716834128,103.955480570427
0,Blk 50A Marine Terrace,MARKET & HAWKER CENTRE (BLK 50A MARINE TERRACE),50A,MARINE TERRACE,MARKET & HAWKER CENTRE (BLK 50A MARINE TERRACE),50A MARINE TERRACE MARKET & HAWKER CENTRE (BLK 50A MARINE TERRACE) SINGAPORE 441050,441050,37172.4173270743,32006.62849053,1.30572973591916,103.915737035334
0,Tiong Bahru Market,DBS TIONG BAHRU MARKET,30,SENG POH ROAD,DBS TIONG BAHRU MARKET,30 SENG POH ROAD DBS TIONG BAHRU MARKET SINGAPORE 168898,168898,27900.1698986189,29679.5695130918,1.28468599168094,103.832421566287
1,Tiong Bahru Market,TIONG BAHRU MARKET,30,SENG POH ROAD,TIONG BAHRU MARKET,30 SENG POH ROAD TIONG BAHRU MARKET SINGAPORE 168898,168898,27873.4577370929,29690.5834875423,1.28478559810371,103.832181546885
0,Zion Riverside Food Centre,ZION RIVERSIDE FOOD CENTRE,70,ZION ROAD,ZION RIVERSIDE FOOD CENTRE,70 ZION ROAD ZION RIVERSIDE FOOD CENTRE SINGAPORE 247792,247792,27762.9988469621,30526.1548476219,1.2923422114207,103.831189023623
0,Blks 79/79A Circuit Road,HAWKER CENTRE (BLKS 79/79A CIRCUIT ROAD),79,CIRCUIT ROAD,HAWKER CENTRE (BLKS 79/79A CIRCUIT ROAD),79 CIRCUIT ROAD HAWKER CENTRE (BLKS 79/79A CIRCUIT ROAD) SINGAPORE 370079,370079,33757.4374216041,34313.9406353924,1.3265970672963,103.885052285736
1,Blks 79/79A Circuit Road,HAWKER CENTRE (BLKS 79/79A CIRCUIT ROAD),79A,CIRCUIT ROAD,HAWKER CENTRE (BLKS 79/79A CIRCUIT ROAD),79A CIRCUIT ROAD HAWKER CENTRE (BLKS 79/79A CIRCUIT ROAD) SINGAPORE 371079,371079,33742.6923128003,34193.3923366424,1.32550687436813,103.88491977038
0,Blk 93 Toa Payoh Lorong 4,MARKET & HAWKER CENTRE (BLK 93 TOA PAYOH LORONG 4),93,LORONG 4 TOA PAYOH,MARKET & HAWKER CENTRE (BLK 93 TOA PAYOH LORONG 4),93 LORONG 4 TOA PAYOH MARKET & HAWKER CENTRE (BLK 93 TOA PAYOH LORONG 4) SINGAPORE 310093,310093,29802.316084696,35627.2537689134,1.33847469611073,103.849513448853
0,Blk 726 Clementi West Street 2,MARKET & HAWKER CENTRE (BLK 726 CLEMENTI WEST STREET 2),726,CLEMENTI WEST STREET 2,MARKET & HAWKER CENTRE (BLK 726 CLEMENTI WEST STREET 2),726 CLEMENTI WEST STREET 2 MARKET & HAWKER CENTRE (BLK 726 CLEMENTI WEST STREET 2) SINGAPORE 120726,120726,20313.3796462538,31794.3900848683,1.30381073184127,103.764250748436
0,Amoy Street Food Centre,DBS AMOY STREET FOOD CENTRE,7,MAXWELL ROAD,DBS AMOY STREET FOOD CENTRE,7 MAXWELL ROAD DBS AMOY STREET FOOD CENTRE SINGAPORE 069111,069111,29480.2599858707,29076.4117134903,1.27923120961067,103.846619273705
1,Amoy Street Food Centre,AMOY STREET FOOD CENTRE,7,MAXWELL ROAD,AMOY STREET FOOD CENTRE,7 MAXWELL ROAD AMOY STREET FOOD CENTRE SINGAPORE 069111,069111,29483.955767219,29088.4261356071,1.2793398636571,103.846652482254
2,Amoy Street Food Centre,OCBC AMOY STREET FOOD CENTRE,7,MAXWELL ROAD,OCBC AMOY STREET FOOD CENTRE,7 MAXWELL ROAD OCBC AMOY STREET FOOD CENTRE SINGAPORE 069111,069111,29480.2599858707,29076.4117134903,1.27923120961067,103.846619273705
0,Blk 505 Jurong West Street 52,MARKET & HAWKER CENTRE (BLK 505 JURONG WEST STREET 52),505,JURONG WEST STREET 52,MARKET & HAWKER CENTRE (BLK 505 JURONG WEST STREET 52),505 JURONG WEST STREET 52 MARKET & HAWKER CENTRE (BLK 505 JURONG WEST STREET 52) SINGAPORE 640505,640505,15215.6998569388,36864.06396823,1.34965729130746,103.718443677825
0,Blk 112 Jalan Bukit Merah,MARKET & HAWKER CENTRE (BLK 112 JALAN BUKIT MERAH),112,JALAN BUKIT MERAH,MARKET & HAWKER CENTRE (BLK 112 JALAN BUKIT MERAH),112 JALAN BUKIT MERAH MARKET & HAWKER CENTRE (BLK 112 JALAN BUKIT MERAH) SINGAPORE 160112,160112,27186.9811679078,29161.9488235991,1.28000480135122,103.82601329621
0,Blk 51 Old Airport Road,PCF SPARKLETOTS PRESCHOOL @ MOUNTBATTEN BLK 51 (KN),51,OLD AIRPORT ROAD,PCF SPARKLETOTS PRESCHOOL @ MOUNTBATTEN BLK 51 (KN),51 OLD AIRPORT ROAD PCF SPARKLETOTS PRESCHOOL @ MOUNTBATTEN BLK 51 (KN) SINGAPORE 390051,390051,33833.0903097549,32269.7166850865,1.30810982136012,103.885731681696
0,Blk 117 Aljunied Ave 2,MARKET & HAWKER CENTRE (BLK 117 ALJUNIED AVE 2),117,ALJUNIED AVENUE 2,MARKET & HAWKER CENTRE (BLK 117 ALJUNIED AVE 2),117 ALJUNIED AVENUE 2 MARKET & HAWKER CENTRE (BLK 117 ALJUNIED AVE 2) SINGAPORE 380117,380117,33976.8991302401,33655.9472074602,1.32064636781982,103.88702414
0,Blk 448 Clementi Ave 3,MARKET & HAWKER CENTRE (BLK 448 CLEMENTI AVENUE 3),448,CLEMENTI AVENUE 3,MARKET & HAWKER CENTRE (BLK 448 CLEMENTI AVENUE 3),448 CLEMENTI AVENUE 3 MARKET & HAWKER CENTRE (BLK 448 CLEMENTI AVENUE 3) SINGAPORE 120448,120448,20343.061339126,32845.8420576267,1.31331969319644,103.764517192874
0,Blk 16 Bedok South Road,MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD ),16,BEDOK SOUTH ROAD,MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD ),16 BEDOK SOUTH ROAD MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD ) SINGAPORE 460016,460016,39376.1483757449,33645.7060351707,1.32055221938711,103.935539171613
1,Blk 16 Bedok South Road,MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD),16,BEDOK SOUTH ROAD,MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD),16 BEDOK SOUTH ROAD MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD) SINGAPORE 460016,460016,39368.8552748002,33640.0242200717,1.32050083785242,103.935473637292
0,Blk 115 Bukit Merah View,MARKET & HAWKER CENTRE (BLK 115 BUKIT MERAH VIEW),115,BUKIT MERAH VIEW,MARKET & HAWKER CENTRE (BLK 115 BUKIT MERAH VIEW),115 BUKIT MERAH VIEW MARKET & HAWKER CENTRE (BLK 115 BUKIT MERAH VIEW) SINGAPORE 151115,151115,26720.6663755551,29770.0739020091,1.28550445567433,103.821823256087
0,Blks 20/21 Marsiling Lane,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),20,MARSILING LANE,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),20 MARSILING LANE MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE) SINGAPORE 730020,730020,21731.448667217,47234.3175260853,1.44344416787521,103.776989477833
1,Blks 20/21 Marsiling Lane,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),21,MARSILING LANE,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),21 MARSILING LANE MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE) SINGAPORE 730021,730021,21756.0331105599,47277.1630374882,1.44383165244262,103.777210383669
0,Hong Lim Market & Food Centre,HONG LIM FOOD CENTRE AND MARKET,531A,UPPER CROSS STREET,HONG LIM FOOD CENTRE AND MARKET,531A UPPER CROSS STREET HONG LIM FOOD CENTRE AND MARKET SINGAPORE 051531,051531,29386.4890156155,29750.0976683833,1.28532379322674,103.845776735598
0,Blk 1 Jalan Kukoh,HAWKER CENTRE (BLK 1 JALAN KUKOH),1,JALAN KUKOH,HAWKER CENTRE (BLK 1 JALAN KUKOH),1 JALAN KUKOH HAWKER CENTRE (BLK 1 JALAN KUKOH) SINGAPORE 161001,161001,28736.2590833632,30071.5608476754,1.2882310152805,103.839934168065
0,Blk 216 Bedok North Street 1,MARKET & HAWKER CENTRE (BLK 216 BEDOK NORTH STREET 1),216,BEDOK NORTH STREET 1,MARKET & HAWKER CENTRE (BLK 216 BEDOK NORTH STREET 1),216 BEDOK NORTH STREET 1 MARKET & HAWKER CENTRE (BLK 216 BEDOK NORTH STREET 1) SINGAPORE 460216,460216,39117.7922474965,34365.5968239084,1.32706274205746,103.933217970746
0,Albert Centre Market & Food Centre,ALBERT CENTRE MARKET & FOOD CENTRE,270,QUEEN STREET,ALBERT CENTRE MARKET & FOOD CENTRE,270 QUEEN STREET ALBERT CENTRE MARKET & FOOD CENTRE SINGAPORE 180270,180270,30325.2105163326,31483.6634436883,1.30100149635856,103.854211650138
0,Adam Road Food Centre,ADAM ROAD FOOD CENTRE,2,ADAM ROAD,ADAM ROAD FOOD CENTRE,2 ADAM ROAD ADAM ROAD FOOD CENTRE SINGAPORE 289876,289876,25870.3018411137,34035.8644314632,1.3240827139625,103.814182099841
0,Commonwealth Crescent Market,DBS COMMONWEALTH CRESCENT MARKET,31,COMMONWEALTH CRESCENT,DBS COMMONWEALTH CRESCENT MARKET,31 COMMONWEALTH CRESCENT DBS COMMONWEALTH CRESCENT MARKET SINGAPORE 149644,149644,24340.0894864583,32155.231093742,1.30707478767354,103.800432545798
1,Commonwealth Crescent Market,COMMONWEALTH CRESCENT MARKET,31,COMMONWEALTH CRESCENT,COMMONWEALTH CRESCENT MARKET,31 COMMONWEALTH CRESCENT COMMONWEALTH CRESCENT MARKET SINGAPORE 149644,149644,24332.8247768823,32135.9186672661,1.30690013206335,103.800367271218
0,Blk 89 Circuit Road,MARKET & HAWKER CENTRE (BLK 89 CIRCUIT ROAD),89,CIRCUIT ROAD,MARKET & HAWKER CENTRE (BLK 89 CIRCUIT ROAD),89 CIRCUIT ROAD MARKET & HAWKER CENTRE (BLK 89 CIRCUIT ROAD) SINGAPORE 370089,370089,33800.4642987661,33980.2979524005,1.32357971400582,103.885438842474
0,Berseh Food Centre,DBS BERSEH FOOD CENTRE,166,JALAN BESAR,DBS BERSEH FOOD CENTRE,166 JALAN BESAR DBS BERSEH FOOD CENTRE SINGAPORE 208877,208877,30623.1447876785,32184.9995951913,1.30734410918998,103.856888783497
1,Berseh Food Centre,BERSEH FOOD CENTRE,166,JALAN BESAR,BERSEH FOOD CENTRE,166 JALAN BESAR BERSEH FOOD CENTRE SINGAPORE 208877,208877,30623.1448179465,32184.9996254593,1.30734410946371,103.856888783769
0,Blks 2 & 3 Changi Village Road,MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD),2,CHANGI VILLAGE ROAD,MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD),2 CHANGI VILLAGE ROAD MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD) SINGAPORE 500002,500002,45241.3442035811,41231.4120278228,1.3891516485857,103.988245247726
1,Blks 2 & 3 Changi Village Road,MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD),3,CHANGI VILLAGE ROAD,MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD),3 CHANGI VILLAGE ROAD MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD) SINGAPORE 500003,500003,45224.2667044876,41287.4388223831,1.38965834308064,103.988091826679
0,Blk 4A Eunos Crescent,MARKET & HAWKER CENTRE (BLK 4A EUNOS CRESCENT),4A,EUNOS CRESCENT,MARKET & HAWKER CENTRE (BLK 4A EUNOS CRESCENT),4A EUNOS CRESCENT MARKET & HAWKER CENTRE (BLK 4A EUNOS CRESCENT) SINGAPORE 402004,402004,35894.6902620094,33621.1522532944,1.32033126010096,103.904256478426
0,Kovan Market & Food Centre,KOVAN HOUGANG MARKET AND FOOD CENTRE,209,HOUGANG STREET 21,KOVAN HOUGANG MARKET AND FOOD CENTRE,209 HOUGANG STREET 21 KOVAN HOUGANG MARKET AND FOOD CENTRE SINGAPORE 530209,530209,33868.9928905163,37906.1657976005,1.35908384091048,103.886055368064
0,Maxwell Food Centre,MAXWELL FOOD CENTRE,1,KADAYANALLUR STREET,MAXWELL FOOD CENTRE,1 KADAYANALLUR STREET MAXWELL FOOD CENTRE SINGAPORE 069184,069184,29271.9157984583,29198.0670940131,1.28033142727315,103.844747227479
1,Maxwell Food Centre,MAXWELL ROAD FOOD CENTRE,1,KADAYANALLUR STREET,MAXWELL ROAD FOOD CENTRE,1 KADAYANALLUR STREET MAXWELL ROAD FOOD CENTRE SINGAPORE 069184,069184,29241.5975396195,29220.8985670786,1.28053790831335,103.844474807265
2,Maxwell Food Centre,UOB MAXWELL FOOD CENTRE,1,KADAYANALLUR STREET,UOB MAXWELL FOOD CENTRE,1 KADAYANALLUR STREET UOB MAXWELL FOOD CENTRE SINGAPORE 069184,069184,29271.9157984583,29198.0670940131,1.28033142727315,103.844747227479
0,Kallang Estate Market,KALLANG ESTATE FRESH MARKET AND FOOD CENTRE,17,OLD AIRPORT ROAD,KALLANG ESTATE FRESH MARKET AND FOOD CENTRE,17 OLD AIRPORT ROAD KALLANG ESTATE FRESH MARKET AND FOOD CENTRE SINGAPORE 397972,397972,33642.3416882437,32185.0303474627,1.30734398370473,103.884017699319
0,Serangoon Garden Market,SERANGOON GARDEN MARKET,49A,SERANGOON GARDEN WAY,SERANGOON GARDEN MARKET,49A SERANGOON GARDEN WAY SERANGOON GARDEN MARKET SINGAPORE 555945,555945,31717.7350540459,38348.5565334801,1.36308501111104,103.866724949118
0,Blk 409 Ang Mo Kio Ave 10,MARKET & HAWKER CENTRE (BLK 409 ANG MO KIO AVE 10),409,ANG MO KIO AVENUE 10,MARKET & HAWKER CENTRE (BLK 409 ANG MO KIO AVE 10),409 ANG MO KIO AVENUE 10 MARKET & HAWKER CENTRE (BLK 409 ANG MO KIO AVE 10) SINGAPORE 560409,560409,30444.9709697347,38300.8947805073,1.36265410749321,103.855288297631
0,Pek Kio Market & Food Centre,PEK KIO MARKET & FOOD CENTRE,41A,CAMBRIDGE ROAD,PEK KIO MARKET & FOOD CENTRE,41A CAMBRIDGE ROAD PEK KIO MARKET & FOOD CENTRE SINGAPORE 211041,211041,29882.4041102333,33156.6338657755,1.31613128029458,103.850232935162
0,Bukit Timah Market,BUKIT TIMAH MARKET,51,UPPER BUKIT TIMAH ROAD,BUKIT TIMAH MARKET,51 UPPER BUKIT TIMAH ROAD BUKIT TIMAH MARKET SINGAPORE 588215,588215,21621.868910674,35735.4350840729,1.33945242854685,103.776007306701
0,Pasir Panjang Food Centre,PASIR PANJANG FOOD CENTRE,121,PASIR PANJANG ROAD,PASIR PANJANG FOOD CENTRE,121 PASIR PANJANG ROAD PASIR PANJANG FOOD CENTRE SINGAPORE 118543,118543,23336.0079675978,28710.0854800716,1.27591797439292,103.791410908656
0,Blk 159 Mei Chin Road,BLK 139 MEI CHIN ROAD,159,MEI CHIN ROAD,BLK 139 MEI CHIN ROAD,159 MEI CHIN ROAD BLK 139 MEI CHIN ROAD SINGAPORE 140159,140159,24615.1067474168,30625.0326018222,1.29323624443735,103.802903871889
0,Chinatown Market,CHINATOWN COMPLEX MARKET,335,SMITH STREET,CHINATOWN COMPLEX MARKET,335 SMITH STREET CHINATOWN COMPLEX MARKET SINGAPORE 050335,050335,29097.2327265413,29408.5769859292,1.28223521144332,103.843177640795
0,Market Street Food Centre,HONG LIM FOOD CENTRE AND MARKET,531A,UPPER CROSS STREET,HONG LIM FOOD CENTRE AND MARKET,531A UPPER CROSS STREET HONG LIM FOOD CENTRE AND MARKET SINGAPORE 051531,051531,29386.4890156155,29750.0976683833,1.28532379322674,103.845776735598
1,Market Street Food Centre,FC/MARKET,9,TAMPINES STREET 32,FC/MARKET,9 TAMPINES STREET 32 FC/MARKET SINGAPORE 529286,529286,42115.2893041037,37409.9994484503,1.35459392882388,103.960153484359
2,Market Street Food Centre,TAMPINES ROUND MARKET AND FOOD CENTRE,137,TAMPINES STREET 11,TAMPINES ROUND MARKET AND FOOD CENTRE,137 TAMPINES STREET 11 TAMPINES ROUND MARKET AND FOOD CENTRE SINGAPORE 521137,521137,40387.6812971048,36390.3618204296,1.34537347373749,103.944629422828
3,Market Street Food Centre,MKT/FC,156,BUKIT BATOK STREET 11,MKT/FC,156 BUKIT BATOK STREET 11 MKT/FC SINGAPORE 650156,650156,18053.8913696855,36701.3960448615,1.348187259982,103.743946626564
4,Market Street Food Centre,ALBERT CENTRE MARKET & FOOD CENTRE,270,QUEEN STREET,ALBERT CENTRE MARKET & FOOD CENTRE,270 QUEEN STREET ALBERT CENTRE MARKET & FOOD CENTRE SINGAPORE 180270,180270,30325.2105163326,31483.6634436883,1.30100149635856,103.854211650138
5,Market Street Food Centre,KOVAN HOUGANG MARKET AND FOOD CENTRE,209,HOUGANG STREET 21,KOVAN HOUGANG MARKET AND FOOD CENTRE,209 HOUGANG STREET 21 KOVAN HOUGANG MARKET AND FOOD CENTRE SINGAPORE 530209,530209,33868.9928905163,37906.1657976005,1.35908384091048,103.886055368064
6,Market Street Food Centre,YUHUA VILLAGE MARKET AND FOOD CENTRE,254,JURONG EAST STREET 24,YUHUA VILLAGE MARKET AND FOOD CENTRE,254 JURONG EAST STREET 24 YUHUA VILLAGE MARKET AND FOOD CENTRE SINGAPORE 600254,600254,17362.9648318021,36181.8218899667,1.34348818520494,103.73773841183
